,,,,,,,,,,,,,,,,,,,,,,
,SELs,1-ABS(SIGN),,,,,,,CASE_WHEN,,,,,,,LEFT_JOIN,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,DEVs,10,100,1.000,10.000,20.000,50.000,100.000,10,100,1.000,10.000,20.000,50.000,100.000,10,100,1.000,10.000,20.000,50.000,100.000
,,,,,,,,,,,,,,,,,,,,,,
,35,22,80,620,548,,,,17,49,320,267,561,,,27,110,950,872,,,
,36,22,81,610,546,,,,17,51,320,269,558,,,33,110,980,884,,,
,37,22,81,620,547,,,,17,56,380,263,563,,,31,110,960,881,,,
,38,23,81,640,545,,,,17,49,320,264,561,,,29,110,960,881,,,
,39,21,84,610,550,,,,18,50,330,264,562,,,27,110,960,876,,,
,40,21,83,610,548,,,,17,49,320,260,560,,,28,110,940,878,,,
,41,27,80,620,548,,,,17,49,380,261,,,,31,110,990,877,,,
,42,26,79,630,533,,,,17,45,330,263,,,,31,110,970,878,,,
,43,25,82,610,537,,,,20,46,330,261,,,,29,110,970,860,,,
,44,23,79,610,543,,,,21,52,330,264,,,,28,100,960,859,,,
,45,23,80,600,550,,,,17,49,330,275,,,,30,120,930,861,,,
,46,22,80,610,543,,,,17,49,330,267,,,,29,110,930,857,,,
,47,25,78,660,547,,,,19,50,320,270,,,,28,120,930,861,,,
,48,24,78,660,537,,,,17,49,330,274,,,,28,110,920,857,,,
,49,24,80,610,537,,,,18,48,330,265,,,,29,110,920,861,,,
,50,20,79,620,543,,,,18,54,340,260,,,,27,110,950,855,,,
